model,probe,pooling,n_datasets,mean_delta,median_delta,pooling_wins,mean_wins,raw_p,adjusted_p,significant
InstaDeepAI/NTv3_650M_pre,linear,attention,57,-0.1608248752707799,-0.12659112287940688,1,56,5.7220438533464375e-11,3.7193285046751846e-10,True
InstaDeepAI/NTv3_650M_pre,linear,cls,57,-0.18997470638201575,-0.1750196367224932,1,56,1.476244010744654e-10,4.797793034920125e-10,True
InstaDeepAI/NTv3_650M_pre,linear,max,57,-0.03698609657793378,-0.03523707372297202,2,55,6.196699355645981e-10,1.342618193723296e-09,True
InstaDeepAI/NTv3_650M_pre,linear,mean_max,57,-0.00031617597718866373,0.0,28,28,0.7627952879258398,0.8263615619196598,False
LongSafari/hyenadna-medium-160k-seqlen-hf,linear,attention,57,-0.05495994820470273,-0.0375652718943994,11,46,1.4741831357635288e-07,2.395547595615734e-07,True
LongSafari/hyenadna-medium-160k-seqlen-hf,linear,max,57,-0.13492170362727465,-0.1290618602192085,1,56,5.4253667582425466e-11,3.7193285046751846e-10,True
LongSafari/hyenadna-medium-160k-seqlen-hf,linear,mean_max,57,-0.05635395625785017,-0.04324173803237319,8,49,5.354742204759559e-09,9.94452123741061e-09,True
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,linear,attention,57,-0.041451249201346685,-0.013725637869797913,17,40,5.822312896328574e-06,8.41000751691905e-06,True
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,linear,max,57,-0.09380527256700447,-0.09239830683631967,1,56,1.0787530770973697e-10,4.674596667421936e-10,True
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,linear,mean_max,57,-0.03629910448392739,-0.022361512225508196,19,38,0.00012630048467607467,0.00016419063007889708,True
zhihan1996/DNABERT-2-117M,linear,attention,57,0.00015629556440229943,0.0,26,27,0.8978600590662027,0.8978600590662027,False
zhihan1996/DNABERT-2-117M,linear,max,57,-0.04733977712996687,-0.04808759525203479,2,55,5.063453304030775e-10,1.3164978590480015e-09,True
zhihan1996/DNABERT-2-117M,linear,mean_max,57,-0.005406348528534466,-0.008786859518865708,13,44,0.0005088981289211276,0.0006014250614522418,True
