dataset,model,pooling,probe,feature_dim,n_train,n_test,n_classes,seed,cv_folds,tuning_candidates,selection_metric,cv_score,best_params,MCC,AUROC,F1,Accuracy,task_group
EMP/Yeast_H3,InstaDeepAI/NTv3_650M_pre,mean,linear,1536,10475,4490,2,42,4,4,roc_auc,0.949234365863486,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.78964775380875,0.9553442525312686,0.8947662381204347,0.8948775055679288,other
EMP/Yeast_H3,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,10475,4490,2,42,4,4,roc_auc,0.9494716144153432,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.7914191999471344,0.955437363510026,0.8956640179988655,0.8957683741648107,other
EMP/Yeast_H3,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,10475,4490,2,42,4,4,roc_auc,0.9494716144153432,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.7914191999471344,0.955437363510026,0.8956640179988655,0.8957683741648107,other
EMP/Yeast_H3,zhihan1996/DNABERT-2-117M,attention,linear,768,10475,4490,2,42,4,4,roc_auc,0.8994356545232107,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.651446998863907,0.9027176891006552,0.8257228433426462,0.8258351893095769,other
EMP/Yeast_H3K14ac,InstaDeepAI/NTv3_650M_pre,mean,linear,1536,23133,9915,2,42,4,4,roc_auc,0.844434597132886,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5446898229461915,0.8514172790020801,0.7723398480371382,0.7763993948562784,other
EMP/Yeast_H3K14ac,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,23133,9915,2,42,4,4,roc_auc,0.8444291160522124,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5444182103585106,0.8514691406830387,0.7722058644026251,0.7762985375693394,other
EMP/Yeast_H3K14ac,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,23133,9915,2,42,4,4,roc_auc,0.8444291160522124,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5444182103585106,0.8514691406830387,0.7722058644026251,0.7762985375693394,other
EMP/Yeast_H3K14ac,zhihan1996/DNABERT-2-117M,cls,linear,768,23133,9915,2,42,4,4,roc_auc,0.7529108601158883,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.3663183593831559,0.7529205049561691,0.6824432266486986,0.6913767019667171,other
EMP/Yeast_H3K36me3,InstaDeepAI/NTv3_650M_pre,mean,linear,1536,24415,10465,2,42,4,4,roc_auc,0.8680200053081,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.594718959356351,0.8711199027738608,0.796711888381104,0.799235547061634,other
EMP/Yeast_H3K36me3,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,24415,10465,2,42,4,4,roc_auc,0.8680190581252327,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5945253535883416,0.8711357545419545,0.7966107433732477,0.7991399904443383,other
EMP/Yeast_H3K36me3,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,24415,10465,2,42,4,4,roc_auc,0.8680190581252327,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5945253535883416,0.8711357545419545,0.7966107433732477,0.7991399904443383,other
EMP/Yeast_H3K36me3,zhihan1996/DNABERT-2-117M,cls,linear,768,24415,10465,2,42,4,4,roc_auc,0.7890102843292768,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4605723968634566,0.7958066813988806,0.7302511670765832,0.7324414715719063,other
EMP/Yeast_H3K4me1,InstaDeepAI/NTv3_650M_pre,mean_max,linear,3072,22173,9504,2,42,4,4,roc_auc,0.8052730458369487,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.507114608463898,0.817475998199865,0.75313713172721,0.7563131313131313,other
EMP/Yeast_H3K4me1,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,22173,9504,2,42,4,4,roc_auc,0.8090017591304041,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5034590582054221,0.8195269109468925,0.7510221835580687,0.7546296296296297,other
EMP/Yeast_H3K4me1,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,22173,9504,2,42,4,4,roc_auc,0.8090017591304041,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.5034590582054221,0.8195269109468925,0.7510221835580687,0.7546296296296297,other
EMP/Yeast_H3K4me1,zhihan1996/DNABERT-2-117M,cls,linear,768,22173,9504,2,42,4,4,roc_auc,0.720078164392115,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.3523258314599754,0.7285186121101941,0.6750416911748773,0.6805555555555556,other
EMP/Yeast_H3K4me2,InstaDeepAI/NTv3_650M_pre,mean,linear,1536,21478,9205,2,42,4,4,roc_auc,0.7341632845000137,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.345696890971426,0.7421045110786643,0.6697427653606227,0.6899511135252581,other
EMP/Yeast_H3K4me2,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,21478,9205,2,42,4,4,roc_auc,0.7341764545505366,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.3465290322309161,0.7421004088283162,0.6700921640580797,0.690385659967409,other
EMP/Yeast_H3K4me2,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,21478,9205,2,42,4,4,roc_auc,0.7341764545505366,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.3465290322309161,0.7421004088283162,0.6700921640580797,0.690385659967409,other
EMP/Yeast_H3K4me2,zhihan1996/DNABERT-2-117M,mean,linear,768,21478,9205,2,42,4,4,roc_auc,0.6733852210919693,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.259508913004054,0.6745439640611615,0.6226705348418451,0.6527973927213471,other
EMP/Yeast_H3K4me3,InstaDeepAI/NTv3_650M_pre,mean_max,linear,3072,25759,11040,2,42,4,4,roc_auc,0.7643566525602974,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4090055561564422,0.7762295872729928,0.7044071803108475,0.7061594202898551,other
EMP/Yeast_H3K4me3,LongSafari/hyenadna-medium-160k-seqlen-hf,mean,linear,1536,25759,11040,2,42,4,4,roc_auc,0.7708958007957402,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4012732329930435,0.7774044358948439,0.7004504814615246,0.7024456521739131,other
EMP/Yeast_H3K4me3,kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,mean,linear,1536,25759,11040,2,42,4,4,roc_auc,0.7708958007957402,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.4012732329930435,0.7774044358948439,0.7004504814615246,0.7024456521739131,other
EMP/Yeast_H3K4me3,zhihan1996/DNABERT-2-117M,cls,linear,768,25759,11040,2,42,4,4,roc_auc,0.6627649738797399,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.2333875082872816,0.6628665337357889,0.6154277415529464,0.6201086956521739,other
